Texto;Label
"""El Museo de la Memoria"" participó de la socialización del día de los museos en la casa natal Gral Santander https://t.co/OHis4VPS84";Seleccionado
"xxx Arte y Diseño por Julio C Angel Zuluaga
@soulcrafttattoostudio 37#10-26 vía primavera. El poblado. ( Medellin -… https://t.co/UJC3eq4Vri";Seleccionado
"xxx Arte y Diseño por Julio C Angel Zuluaga
@soulcrafttattoostudio 37#10-26 vía primavera. El poblado. ( Medellin -… https://t.co/X1qvP7YrMB";Seleccionado
Vea usted, la explicación de las guaduas rosadas. https://t.co/DkGUx9aw6c;Seleccionado
"Two days ago!
#medellin #colombia #botero #streetphotography #street #art #arte @ Medellín,… https://t.co/4PDi41gaqN";Seleccionado
Road trip #artlovers #artmedellin #artemedellín #pinturamedellin #colombiarte #culturamde… https://t.co/UALbhRoXT5;Seleccionado
Porque una vida sin arte es completamente irrelevante.#medellin #botero #medellin… https://t.co/k8By509qdp;Seleccionado
Orange hair #hair #oilcanvas #oilpaint #artmed #artmedellin #artemedellín #colombiacultural… https://t.co/MZk4SyMUq3;Seleccionado
Obra lista para el viarte 2016 medellin... Nos espera @ Ibague - Tolima https://t.co/Uxcr1hSDT0;Seleccionado
Arte 57 3205158840 medellin https://t.co/f0slUI1KSk;Seleccionado
Arte 57 3205158840 medellin https://t.co/fLPJUolJmt;Seleccionado
#dibujos #arte #Medellin todo en @Comfenalco_Ant @Cult_Comfenalco https://t.co/UF6k9WNBui;Seleccionado
RT @AndreaLondonoSa: Mientras nos miran obra de arte de Medellín https://t.co/mp7Dnv0icC;Seleccionado
Mientras nos miran obra de arte de Medellín https://t.co/mp7Dnv0icC;Seleccionado
"Este fue el parche del pasado viernes en el #mamm. Gracias a todo los q
Asistieron es genial la obra que harán... https://t.co/iedSjR4To7";Seleccionado
El Talento De Mis Usuarios...!!!  #Dibujo #Arte #Creación #Perfección @ Medellin(buenos aires) https://t.co/oR0FjVuj0C;Seleccionado
Dibujo Rafael Jaime Aarón Gallón #Plumilla #ArteMedellín #Arte #ArtistaColombiano #Colombia https://t.co/C99sILEu1s https://t.co/TDI3EXVPNw;Seleccionado
RT @rafaelaaron3: Dibujo Rafael Jaime Aarón Gallón #Plumilla #ArteMedellín #Arte #ArtistaColombiano #Colombia https://t.co/C99sILEu1s https…;Seleccionado
"Arte Urbano.
""Piernas""
Autor: Jorge Janna. @ poblado (medellin-antioquia) https://t.co/jsUDpUa6Ng";Seleccionado
"ART

By: Carlos Cruz Diez

#art #colombia #medellin #arte #trip #travelgram #travel #inexmoda… https://t.co/kHoKQoPrF1";Seleccionado
"Aerografia en MOTORMUSCLE IV Medellin.
#dvtaerografia #aerografia #motormuscle #arte july.lopera https://t.co/3xC6DSEbwa";Seleccionado
RT @Carito1986: #artmedellin #artemedellín #artmed #colombiacultural #colombiarte #oilcanvas #oilcanvas #fineart… https://t.co/omMElMYzKc;Seleccionado
#artmedellin #artemedellín #artmed #colombiacultural #colombiarte #oilcanvas #oilcanvas #fineart… https://t.co/omMElMYzKc;Seleccionado
"He publicado 50 fotos en Facebook en el álbum ""MANGA LIBRE - PLATOHEDRO - MDE15"". https://t.co/nhcrXpIyYh";Seleccionado
RT @nabi_b: La pude visitar en #Florencia, toda una experiencia para los amantes de #VanGogh 🎇🎇 y el arte   https://t.co/G227ePGllC;Seleccionado
La pude visitar en #Florencia, toda una experiencia para los amantes de #VanGogh 🎇🎇 y el arte   https://t.co/G227ePGllC;Seleccionado
RT @ProyectoNN: Que no cambiarías del centro? https://t.co/5hdFF8VvAs;Seleccionado
Que no cambiarías del centro? https://t.co/5hdFF8VvAs;Seleccionado
RT @ProyectoNN: Que lugares del centro no visitas? - https://t.co/ISQPIrElx7 #aguanta #CaminaPalCentro https://t.co/rHLE3CPrh2;Seleccionado
Que lugares del centro no visitas? - https://t.co/ISQPIrElx7 #aguanta #CaminaPalCentro https://t.co/rHLE3CPrh2;Seleccionado
RT @Tatta012: Parque explora, comuna 4/Moravia, comuna 9/Platohedro, UNacionalMedellin/MDE15, UAntioquia, Metro, Metrocable, tranvía, Jardí…;Seleccionado
Parque explora, comuna 4/Moravia, comuna 9/Platohedro, UNacionalMedellin/MDE15, UAntioquia, Metro, Metrocable, tranvía, Jardín Botánico #UPN;Seleccionado
#AlAire #TerritoriosVivos @platohedro sobre proyecto de intervención del espacio y huerta comunitaria. @EsquinaRadio https://t.co/WAU8qT1Vma;Seleccionado
Me encanta !!!! @ProyectoNN   https://t.co/HdtfdQo786;Seleccionado
RT @ProyectoNN: En la plaza de Botero #Aguanta #CaminaPalCentro https://t.co/9DBziZItEf;Seleccionado
En la plaza de Botero #Aguanta #CaminaPalCentro https://t.co/9DBziZItEf;Seleccionado
"Nuestros invitados al performance sonoro de mañana martes arribando al #MAMM, 
desde Montreal… https://t.co/ZtTdGMlDY4";Seleccionado
Reviven concurso de curadores para Medellín https://t.co/v8AsCyO3BS #Colombia #Universidad;Seleccionado
UniversidadesC0: Reviven concurso de curadores para Medellín https://t.co/G7Aid7Ibr9 #Colombia #UNAL #Colombia;Seleccionado
Reviven concurso de curadores para Medellín https://t.co/LkpdWckhR5;Seleccionado
Reviven concurso de curadores para Medellín https://t.co/WnY2YeYxJy https://t.co/0CLi19G1o0;Seleccionado
Por las calles de Medellin #medellin #colombia #colombianas #wynwood #art #arte #ennearqui… https://t.co/6Ihs0HvT1v https://t.co/NaZ21a9416;Seleccionado
Por las calles de Medellin #medellin #colombia #colombianas #wynwood #art #arte #ennearquitectos #building... https://t.co/CPa1AGauPY;Seleccionado
Por las calles de Medellin #medellin #colombia #colombiana #architectour #tour #travel #art #arte... https://t.co/BspkwNfZ76;Seleccionado
#relax #architecture #arte #arts #medellin #medallo #cool #colombia #antioquia #universidad #instalike #instgram #i… https://t.co/l3AhkR1Bi0;Seleccionado
Una útil información: ¿Cuál es la función de las galerías de arte? https://t.co/8ssFDeRxZY https://t.co/Fmz3DXsbCj;Seleccionado
Una mirada a las galerías en Medellín https://t.co/7PSJaexA9S;Seleccionado
"Quien se anima este sábado a ir a día de galerías conmigo ? #Medellin
Podemos hacer tarde de bicicleta y arte !. https://t.co/OKrylUujGs";Seleccionado
My artwork in VIARTE art fair, Medellín, Colombia. https://t.co/kmGIED7xnw;Seleccionado
La exposición de arte a la que los asistentes debían ir sin ropa #medellin #bhivelabs https://t.co/z8cUmYA9Au;Seleccionado
"☕️Buen comienzo de semana!! Para hablar de arte.🎨 Artista: NYEPES
#arte #Galeria #Medellin https://t.co/zby3X07LvO";Seleccionado
"¿Cuál es la función de las galerías de arte? https://t.co/y4r6PlVHjJ

¿porque no se les pregunta los artistas? la respuesta será 0 galerías";Seleccionado
¿Cuál es la función de las galerías de arte? https://t.co/y4r6PlVHjJ;Seleccionado
#viernes  #medellin  #arte  #exposicion https://t.co/bdUNAER5lF;Seleccionado
RT @dazulzul: #ArteMedellín Con cuatro exposiciones de arte le dicen adiós a julio https://t.co/HE8DbutPlg;Seleccionado
#ArteMedellín Con cuatro exposiciones de arte le dicen adiós a julio https://t.co/HE8DbutPlg;Seleccionado
Un lugar de encuentros con el #arte lapascasia en Medellin @ La Pascasia https://t.co/ynyMPqIG0c;Seleccionado
S.OS. Ciudadanos por la cultura y el arte apoyamos a @Centroplazarte  https://t.co/hAQozugCWh;Seleccionado
RT @ciudadcodificad: S.OS. Ciudadanos por la cultura y el arte apoyamos a @Centroplazarte  https://t.co/hAQozugCWh;Seleccionado
Residencies for artists in Medellin at Casa Tres Patios - Residencias artisticas en Casa Tres Patios... https://t.co/0bXCA0LQC3;Seleccionado
RT @SandraMnegro: Residencies for artists in Medellin at Casa Tres Patios - Residencias artisticas en Casa Tres Patios... https://t.co/0bXC…;Seleccionado
Pues yo vivo en un museo y él está “viviendo”, su memoria, en el Museo de la Casa Azul. https://t.co/e7Se4KvccY... https://t.co/cMkvbTHAEb;Seleccionado
Pues yo vivo en un museo y él está “viviendo”, su memoria, en el Museo de la Casa Azul. https://t.co/e7Se4KdBlq #exiliocubano;Seleccionado
Pues yo vivo en un museo y él está “viviendo”, su memoria, en el Museo de la Casa Azul. https://t.co/e7Se4KvccY... https://t.co/TQxzkJuqgO;Seleccionado
Pues yo vivo en un museo y él está “viviendo”, su memoria, en el Museo de la Casa Azul. https://t.co/e7Se4KvccY... https://t.co/swoLTG8QVn;Seleccionado
Pues yo vivo en un museo y él está “viviendo”, su memoria, en el Museo de la Casa Azul. https://t.co/e7Se4KdBlq... https://t.co/0PHRSk87VV;Seleccionado
RT @artbygonzalez: #FBF visiting @MAMmedellin - #Colombia #Medellin #arte https://t.co/rmWeGgH02F;Seleccionado
#FBF visiting @MAMmedellin - #Colombia #Medellin #arte https://t.co/rmWeGgH02F;Seleccionado
"Hola #Medellín 

#Medallo #Botero #Arte #fatness @ Plaza Botero - Medellin, Colombia https://t.co/tfiAVeTkd6";Seleccionado
"Hola #Medellín 

#Medallo #Botero #Arte #fatness  Plaza Botero - Medellin, Colombia https://t.co/IEnV3mBka5";Seleccionado
"¿Aun no sabes que es @Centroplazarte ? Mira este articulo de @cartelurbano ''Memoria artística y patrimonial''
https://t.co/v6EfchmYuc";Seleccionado
Medellin,Colombia,Tango World Championships 2016 https://t.co/wXrnBgiI7v vía @Taringa;Seleccionado
Comedia, arte y vida ofrece el teatro local https://t.co/UV2xH9zeeX vía @ELTIEMPO;Seleccionado
Arte, magia y teatro en el Mamimuti https://t.co/ITBnpvhxpr vía @ELTIEMPO;Seleccionado
Les Luthiers, por qué? Quiero pero no puedo! https://t.co/vV4y9lRXVM;Seleccionado
Hoy jueves 2X1, dos por $18.000 para ver (DES)VELOS #Teatro #Danza para mover el alma #Culturamde;Seleccionado
Hoy jueves 2X1, dos por $18.000 para ver (DES)VELOS a las 7:00 pm. #Teatro #Danza para mover el alma #Culturamde;Seleccionado
RT @casadelteatro: Hoy jueves 2X1, dos por $18.000 para ver (DES)VELOS a las 7:00 pm. #Teatro #Danza para mover el alma #Culturamde;Seleccionado
Esta noche Guateque, Pendiente Danza, Matices, Arte Danza y Danzar de Antioquia. Medellin Si Danza. https://t.co/omnQYGRMPx;Seleccionado
Dialogo en el jardin del palacio #elementalteatro #mayo #tablas #teatro #medellin #cultura #arte… https://t.co/y8J43jnOD4;Seleccionado
Dialogo en el jardin del palacio #elementalteatro #mayo #tablas #teatro #medellin #cultura #arte… https://t.co/TpnNvlN23d;Seleccionado
Anoche cerrando la celebración del mes de la danza. @kamadoshowmaker gracias por la imagen @danzaenredcol https://t.co/XjKziyGFEu;Seleccionado
#teatrocentraldelossueños #cabaret #boudelaire #cultura #arte #disfruta #amigos #medellin https://t.co/OhskL23wal;Seleccionado
#teatrocentraldelossueños #cabaret #boudelaire #cultura #arte #disfruta #amigos #medellin https://t.co/wl5B7TUOsD;Seleccionado
#cityMed #Citymed2 #Trilogia #arteycultura_ #artesintegradas #Cultura #culturamde #DeAmbulantes… https://t.co/YjeFgMTWmM;Seleccionado
Zona 3. La sabiduría popular no es un cuento chino. Juliana Rodríguez (Platohedro) y Mirtha… https://t.co/nCtbWM037E;Seleccionado
Toñito León lleva su música a Bogotá y Medellín https://t.co/cMkLfRfqpf;Seleccionado
Latoya y las technotruchas en Casa Tres Patios https://t.co/ZWQIg7344w;Seleccionado
Medellin en Canciones, De Diego Londoño, la cara amable de una ciudad amable con el arte. Y  la música es el idioma de los dioses.;Seleccionado
HOY MARC RIBOT, leyenda de la guitarra 7.30 p.m. el #MAMM https://t.co/z3kRR7zLWD;Seleccionado
HOY 7.30 p.m. MARC RIBOT, leyenda de la guitarra el #MAMM https://t.co/z3kRR7zLWD;Seleccionado
"En concierto este miércoles a las 7:30PM (Aprox.) en Calle 9+1
Cerrando el evento de Viarte - Lo doy porque... https://t.co/y1SpWjgSoM";Seleccionado
Conoce la historia de la música Techno en un conversatorio con Dj Stingray https://t.co/9fnYrRNMpo;Seleccionado
Aprende sobre la música electroacústica y el arte sonoro latinoamericano https://t.co/Wujk48nGSp;Seleccionado
#real #repost #music #musica #arte #artista #e #gravelerorecord #republicadominicana #medellin #amorporlamusica #pr… https://t.co/fAheyqaKxW;Seleccionado
#amorpolamusica #art #arte #music #madrid #fiestafm #flstudio #fl #miami #colombia #medellin #repost #artist #latie… https://t.co/eTSYpcdr2v;Seleccionado
#sabado  #Medellin #techmusic  #djCusumbo #Mamm  #recomendado https://t.co/8LJ1RdlIRQ;Seleccionado
RT @upbcolombia: Salón de Arte Fotográfico @upbcolombia https://t.co/xlkJPQiewF Convocatoria para profesionales y aficionados https://t.co/…;Seleccionado
Salón de Arte Fotográfico @upbcolombia https://t.co/xlkJPQiewF Convocatoria para profesionales y aficionados https://t.co/IAus53FnKU;Seleccionado
Medellín, mi bella y manchada ciudad - https://t.co/bE7CbGolOL - en @taringa;Seleccionado
Medellín, mi bella y manchada ciudad https://t.co/bE7CbGolOL vía @Taringa;Seleccionado
#volador #forest #arbol #caida #felicidad #perpective #perpectiva #medellin #latinoamerica #america #men #art #arte https://t.co/7EgxbFjxnZ;Seleccionado
En el en el Mamm se expone cámara antigua de fotograbado #Mamm #Cámarasfotográficas #Museo #art  https://t.co/565DVVQcm9;Seleccionado
'Cámara de maravillas' una exposición que cuestiona el lugar de la fotografía en el arte   https://t.co/8Bhg0HfVlA vía @RevistaArcadia;Seleccionado
#fotografo #fotografia #profesional #amor #arte #moda #medellin #Photographer #Photography #professional #love #art… https://t.co/d09z3yddPY;Seleccionado
#fotografo #fotografia #profesional #amor #arte #moda #medellin #Photographer #Photography #professional #love #art… https://t.co/QELxVHNS6O;Seleccionado
#fotografo #fotografia #profesional #amor #arte #moda #medellin #Photographer #Photography #professional #love #art… https://t.co/Lqb38Eh2Q8;Seleccionado
RT @JuanPabloMorris: Mientras pintan Bogotá de Gris, Medellin imita las grandes capitales del mundo y se llena de Grafitis, Color y Arte. h…;Seleccionado
Mientras pintan Bogotá de Gris, Medellin imita las grandes capitales del mundo y se llena de Grafitis, Color y Arte. https://t.co/4GRzKFYvjb;Seleccionado
Mas arte #comuna13 #medellin #streetart #graffiti https://t.co/a4J1MgAU4P;Seleccionado
"Guache (Óscar González) - ""Del Otro Lado"" Grafiti en el Colombo 🐍🌽⛰🎨 @ Centro Colombo Americano,… https://t.co/HKI69fm48g";Seleccionado
El inicio de un nuevo proyecto. #comuna13 #graffitiporn #arte #art #arte_of_nature #colors #hiphop #medellin #style https://t.co/yxOoSYnxMP;Seleccionado
El ARTE URBANO es mi forma favorita de ponerle color a la ciudad. 🎨🏙💥 #StreetArt #Medellin… https://t.co/YyotyHTZ8u;Seleccionado
Doble porción de Frijol. #frijol #fco #Colombia #arte #parche #streetart #graffiti #Medellin… https://t.co/5bdJzGZPCN;Seleccionado
Detalles .#art #arte #artist #graffitiart #medellin #medellinstyle  #apolo.trece @apolo_graff13… https://t.co/ZFKg64r8CR;Seleccionado
Detalles .#art #arte #artist #graffitiart #medellin #medellinstyle  #apolo.trece @apolo.trece https://t.co/52t2MzPBOT;Seleccionado
"MAÑANA 3ER BATALLA DE GRAFFITI

Desde las 11am hasta las 5pm estaremos en el Museo Casa de la Memoria en la 3er... https://t.co/h0jMepTlMY";Seleccionado
RT @elcolombiano: Los curadores de arte de Medellín hablan de su oficio https://t.co/txE1c4w8DL https://t.co/rRRHd9CNU6;Seleccionado
Los curadores de arte de Medellín hablan de su oficio https://t.co/txE1c4w8DL https://t.co/rRRHd9CNU6;Seleccionado
Last visit to #MAMM by #CPRSouthAmerica #MDE #Medellin #curatorialprogram #CPR2016 @ Museo de… https://t.co/HUOIq9yorU;Seleccionado
#museodeartemoderno #medellin #edicion #exposiciones #proyectos #arte https://t.co/weV6TOFZSD;Seleccionado
#museodeartemoderno #medellin #edicion #exposiciones #proyectos #arte https://t.co/gYDRojnQ03;Seleccionado
RT @MyEarlyRocket: Hoy compartimos con @EpicentroMed de Medellin 🇨🇴😄Para #coworking o #proyectos de #arte echa un vistazo 👀 ¡Está super! 👌🏿;Seleccionado
Hoy compartimos con @EpicentroMed de Medellin 🇨🇴Para espacio de trabajo allá o si tienes un proyecto de arte echa un vistazo, está super! 👌🏿;Seleccionado
Hoy compartimos con @EpicentroMed de Medellin 🇨🇴😄Para #coworking o #proyectos de #arte echa un vistazo 👀 ¡Está super! 👌🏿;Seleccionado
"Deadline: 25/04/2016
Location: Colombia
The Campos de Gutiérrez Foundation
https://t.co/ppWflO4rHh #residenciaarte https://t.co/WD7etdaagR";Seleccionado
Llegó a #FILBo exposición del Museo Casa de la Memoria de Medellín “+Que dos para reconciliarnos” https://t.co/nxVEGxqDHT vía @librosyletras;Seleccionado
RT @reintegracion: Llegó a #FILBo exposición del Museo Casa de la Memoria de Medellín “+Que dos para reconciliarnos” https://t.co/nxVEGxqDH…;Seleccionado
Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para reconciliarnos”. https://t.co/MP0MeMlKOD;Seleccionado
Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para reconciliarnos”.   librosyletras;Seleccionado
Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para reconciliarnos”. https://t.co/JIHdaQbK5D;Seleccionado
RT @librosyletras: Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para… https://t.co/R0hEf2jnzg;Seleccionado
Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para… https://t.co/R0hEf2jnzg;Seleccionado
Llega a la FILBo la exposición del Museo Casa de la Memoria de Medellín: “+Que dos para reconcilia... https://t.co/B9hqGXAe5d;Seleccionado
#feriadellibro #corporativo #culturamde #medellincuentaconvos #comunidad https://t.co/cqsPdnnEMD;Seleccionado
Viendo, re-conociendo, aprehendiendo, viviendo #EduPunk #platohedro #sumaDeVoluntades #upn… https://t.co/6hPnAklKsZ;Seleccionado
